                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.66825,                 0.6383,                0.08243,                0.52486,                0.85169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007756,               0.007756,               0.007756
                     71,                0.66395,                0.57149,                0.08073,                0.51737,                0.85179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007723,               0.007723,               0.007723
                     72,                0.67127,                0.63734,                0.08395,                0.52437,                0.85105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                     73,                0.67312,                0.60727,                0.08188,                  0.524,                0.85223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007657,               0.007657,               0.007657
                     74,                0.66956,                0.59219,                0.07913,                0.52401,                0.85322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     75,                0.66516,                0.60483,                0.08283,                0.52235,                0.84945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007591,               0.007591,               0.007591
                     76,                0.66726,                0.62486,                0.08257,                0.52025,                0.84952,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007558,               0.007558,               0.007558
                     77,                 0.6648,                0.60447,                0.08142,                0.51819,                0.85183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     78,                0.66369,                0.61598,                0.08058,                0.51836,                0.85012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007492,               0.007492,               0.007492
                     79,                0.66425,                0.59567,                0.08006,                0.51938,                0.84894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007459,               0.007459,               0.007459
                     80,                0.65806,                0.56043,                0.08089,                0.51485,                0.84782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     81,                0.66364,                0.63227,                0.07816,                0.51655,                0.85032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007393,               0.007393,               0.007393
                     82,                 0.6486,                0.49821,                0.07776,                0.50436,                0.84984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     83,                0.65566,                0.56201,                0.08448,                 0.5106,                0.84811,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     84,                0.66229,                0.53725,                0.07994,                0.51303,                0.85158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007294,               0.007294,               0.007294
                     85,                0.66243,                0.56506,                0.08042,                0.51545,                0.85144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007261,               0.007261,               0.007261
                     86,                 0.6623,                 0.6219,                0.08181,                0.51494,                0.85167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     87,                0.66269,                0.60972,                0.08403,                0.52043,                0.84936,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007195,               0.007195,               0.007195
                     88,                0.65772,                0.55785,                0.08153,                0.51204,                0.85056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007162,               0.007162,               0.007162
                     89,                0.66074,                 0.6079,                0.07994,                0.51822,                0.85076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     90,                0.66093,                0.60975,                0.07907,                0.51226,                0.85081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007096,               0.007096,               0.007096
                     91,                0.66099,                0.56893,                0.07629,                 0.5139,                0.85023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007063,               0.007063,               0.007063
                     92,                  0.658,                 0.5789,                0.07757,                0.50937,                0.84973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     93,                0.65832,                 0.5645,                0.07638,                0.51207,                0.84993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006997,               0.006997,               0.006997
                     94,                0.65699,                0.58101,                0.07722,                0.51158,                0.84855,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006964,               0.006964,               0.006964
                     95,                0.65341,                0.54081,                 0.0804,                0.51066,                0.85057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     96,                0.65814,                0.58002,                0.07862,                0.51356,                 0.8511,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006898,               0.006898,               0.006898
                     97,                0.65106,                0.53967,                0.07854,                0.50558,                0.84797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006865,               0.006865,               0.006865
